Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazeWorld;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
3732603;1000497096368971244;63850017875484;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.049, 0.999);(-0.922, -0.142, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.013, 0.049, 0.999);(-0.034, 0.000, 0.000);0.392;5.195;13.257;VALID;(-0.018, 0.049, 0.999);(0.034, 0.000, 0.000);0.398;5.244;13.183;2;1
3732604;1000497096373975095;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.142, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.392;5.194;13.257;VALID;(-0.018, 0.048, 0.999);(0.034, 0.000, 0.000);0.398;5.245;13.183;2;1
3732605;1000497096378975361;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.142, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.392;5.192;13.257;VALID;(-0.018, 0.048, 0.999);(0.034, 0.000, 0.000);0.398;5.246;13.183;2;1
3732606;1000497096383975625;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.142, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.392;5.191;13.257;VALID;(-0.018, 0.048, 0.999);(0.034, 0.000, 0.000);0.398;5.248;13.183;2;1
3732607;1000497096388975887;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.142, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.392;5.191;13.257;VALID;(-0.018, 0.048, 0.999);(0.034, 0.000, 0.000);0.398;5.251;13.183;2;1
3732608;1000497096393976148;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.143, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.392;5.190;13.257;VALID;(-0.017, 0.048, 0.999);(0.034, 0.000, 0.000);0.398;5.253;13.183;2;1
3732609;1000497096398976514;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.143, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.391;5.190;13.257;VALID;(-0.017, 0.048, 0.999);(0.034, 0.000, 0.000);0.399;5.255;13.183;2;1
3732610;1000497096403977012;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.143, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.391;5.189;13.257;VALID;(-0.017, 0.048, 0.999);(0.034, 0.000, 0.000);0.399;5.257;13.183;2;1
3732611;1000497096408977641;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.143, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.391;5.188;13.257;VALID;(-0.017, 0.048, 0.999);(0.034, 0.000, 0.000);0.399;5.257;13.183;2;1
3732612;1000497096413978401;63850017875485;(0.811, 1.761, -0.252);(0.093, -0.183, 0.020, 0.978);VALID;(-0.002, 0.048, 0.999);(-0.922, -0.143, -0.359);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.048, 0.999);(-0.034, 0.000, 0.000);0.391;5.187;13.257;VALID;(-0.017, 0.048, 0.999);(0.034, 0.000, 0.000);0.399;5.256;13.183;2;1
